socpit,channel,Новости СоцПит РБ,353,
gazetanashikigi,channel,Башкирия Наши КИГИ,428,"Новости Кигинского района и Башкирии.   ""Наши Киги"". Сайт: https://nashikigi.ru/"
gutarity,group,🚨 Гутарити🚨,955,"⛔️STOP⛔️ 🚫Нацистская, фашистская символика ➡️mute 🚯Некрофилия➡️ban 🔞Порнография➡️ warn/mute/ban 🚭Реклама, ➡️ban 🚱Трэш контент➡️warn/mute/ban 📵Истерия, капс, тупость ,флуд➡️mute 🚳Несогласие с админами  ➡️ban     Оскорбление детей, родителей - mute"
gumanitaryy,channel,Оп-Оп Кирюха топ🍀,161,"бож, лень думать"
hectortravel,channel,Гектор Валит (или нет),241,Простым языком о сложных (теперь) путешествиях
za_gumanizm,channel,ОД Комитет гражданского действия,159,🇷🇺ZA гуманизм! #семья #традиции #образование #новосибирск  📨Обратная связь - @za_gumanizm_bot  ✍️Чат для общения - @nsk_komitet_deistvia_grazhdan
feldman_guitar,channel,FeldmanGuitar,202,
yangimusiqaiar,channel,GMTV Uzbekistan | Yangi musiqalar ♪,134,Eng soʻnggi va sifatli oʻzbek musiqalari ushbu kanalda  Asosiy kanalimiz: @gmtvuzbekistan Horij musiqalari: @glamourmusictv  © Glamour Music TV
guman_13,group,Гуманная педагогика в Братске. Жизнь замечательных людей.,83,"Добро пожаловать в пространство, где родители и дети растут вместе — с уважением, любовью и осознанностью.  Путь подсказывает Сердце."
sobmk_accred,channel,АккредЦентр СОБМК,2081,Центр аккредитации СОБМК
medaccred,channel,Аккредитация МИДО,20,Вся информация о периодической аккредитации
avi_codex_ofc,channel,AVI CODEX OFFICIAL,1010,Owner @AVI_CODEX
tantsiura_val,channel,"Валентин Танцюра | B2B, AI и Мысли",363,Про B2B лидогенерацию и продажи
adityacheats,channel,Aditya Cheats ❲🇮🇳❳ ™,56,
adchti_kitobxonlar_davrasi,channel,ADChTI kitobxonlar davrasi,244,
archi_mebel_format,channel,ARCHI STUDIO,183,"Кухни и мебель по индивидуальным проектам. Почему выбирают нас? Потому что мы ценим качество и внимание к деталям. Каждый проект, который мы создаем, уникальный и сделан с любовью. Ваши желания и потребности – наш приоритет."
sudraaaaa,channel,سُـدره,481,مـعاً للجـنة بإذن الله.
khiso_syrdarya,channel,KHISO SIRDARYO,205,KHISO olimpiada maktabining Sirdaryo boʻyicha rasmiy telegram kanali.  Admin: @khiso_admin
sirdaryo_qurilish,channel,Sirdaryo Qurilish va uy-joy boshqarma,148,
teamrajuhere,channel,TEAM RAJU HERE,1085,❤️ʜᴇʀᴇ ʏᴏᴜ ɢᴏᴛ slot ⚡ ✨ᴏᴡɴᴇʀ- RAJU ✨ᴘʀᴏᴏғs- @YOURR_GC  Iss chenal se apne risk per slot lo
nanopi_r4s,group,OpenWrt NanoPi R2S,530,OpenWrt Firmwares for FriendlyARM NanoPi R2S
raj_status7,channel,Video editing materials Nd HD photos,465,
r46_updates,channel,REES46 | Тренды e-commerce,231,Канал о трендах рынка e-commerce:  — свежая инфографика с исследованиями; — кейсы по увеличению выручки; — новости онлайн-ритейла и маркетинга; — полезные материалы по усилению бизнеса.  Сайт: https://rees46.ru/ Поддержка: desk@rees46.ru
alina_raj,channel,Алина Рай | блог 🎙️,230,
psi_rsj,channel,Режиссёр собственной Жизни!,196,"Что вам мешает быть счастливым? Успешным? Удачливым? Богатым? Узнайте на этом канале!  Либо мы Режиссеры собственной жизни, либо нас режиссируют все вокруг... Выбор за нами!  Пригласить друга t.me/psi_rsj  Написать автору @eleonorapsiholog"
rdx_photoediting,channel,RDX_photo editing,171,All tips editing videos
prava_r4k,channel,R4C TIKTOK❄️,173,Владелец Канал @r4c_04  🥷  Наш -- канал https://t.me/freefire_r4k 🥷  Наш Чат -- https://t.me/r4c_ffx 🥷
riodejaneiro_rj,group,Grupo Telegram RJ,150,"SuperGrupo regional do RJ, feito para todos os fluminenses e quem deseja conhecer mais sobre nosso estado.  Noticias em @noticiasrj"
letnij_raj,channel,— Летняя беседка Чая ᥙ̫ Роуна.. 👅🥂,142,"— ̶Д̶̫᧐δρ᧐ ᥰ᧐̶ж̶̫ᥲ᧘᧐ʙᥲᴛ̶ь̶̫, ̶З̶̫ʙёᤋ̶д̶̫᧐̶ч̶̫κᥲ!!    ̶В̶̫ ϶ᴛ᧐ⲙ ̶у̶̶̫ю̶̫ᴛ̶н̶̫᧐ⲙ κᥲ̶н̶̫ᥲ᧘̶ь̶̶̫ч̶̫ᥙκᥱ Կᥲ̶я̶̫ ᥙ ̶Д̶̶̫я̶̶̫д̶̫ᥙ 𑀝ᥲɯᥙ.    — ̶В̶̫᧘ᥲ̶д̶̫ᥱ᧘ᥱ̶ц̶̫ :: (@tea_tom)     — ̶З̶̫ᥲⲙ :: (@Hioshi_156)"
hellomediamy,channel,hellomedia,255,"Channel Telegram milik blog hellokerja.com. Dapatkan berita terkini disamping, informasi yang anda inginkan"
godzo_pubg,channel,𝐆𝐎𝐃𝐙𝐎 𝐏𝐔𝐁𝐆🇺🇿,13184,𝐀𝐒𝐎𝐒𝐈𝐘 𝐊𝐀𝐍𝐀𝐋: @GODZO_PUBG 𝐀𝐊𝐊𝐀𝐔𝐍𝐓 𝐒𝐀𝐕𝐃𝐎: @GODZO_SAVDO 𝐔𝐂 𝐒𝐄𝐑𝐕𝐈𝐂𝐄: @GODZO_UcSHOP
oleg_buzza,channel,️ Олег Buzza информбюро,219,"Мой диджейский, немного фотографский и прочий контент, полезный, приятный и интересный вам. Анонсы вечеринок, френдли-билеты, музыка, фотографическое и художественное творчество. Подписывайтесь, никакого спама, только топовая годнота =^..^="
toplistpodolsk,channel,𝗧𝗢𝗣 𝗟𝗜𝗦𝗧 𝗣𝗢𝗗𝗢𝗟𝗦𝗞 [𝟴𝟳],510,Официальный Топ лист Сервера PODOLSK[87]   owner @Mertvezov @fuckerkagami
mrrzed,channel,ZeD,63,"Dear Paul Dorf @durov , we have no sexual content and so on We fully complied with the rules of the telegram There are those who do not want us to progress and jealously report P V ?"
slyqe23,channel,𝐒𝐋𝐘𝐐𝐄,303,18 y.o 16 pro Team:
arcreduz,channel,ARCREDuz,181,"Honoured to be Uzbekistan's prime eSports team.  We win in CS:GO, DOTA 2, PUBG,FIFA. #arcrednation"
puddingarts,channel,Pudding - Art🎨,169,"Aliya - illustrator, concept artist   Рисую концепт-арты и иллюстрации в духе средневековья и древних эпох, люблю фэнтези ✨  ArtStation - https://www.artstation.com/puddingzo"
pmtakeoff,channel,TAKEOFF PubgM,69,dm: @kxxq77
pesslegenduz,channel,─── PESS LEGEND UZ ───,110,Bu PESS LEGEND UZ.  ⚽ Street vibe gameplay 🔥 Chiroyli gollar 🎮 Skill va tezkor o‘yin 🏆 Legend mentalitet  Futbolni his qil. O‘yinda yashagin. Legend bo‘l.  PESS LEGEND UZ 🇺🇿
grustnyj_poezd_bot,bot,Поезд | Предложка,,Предложка и обратная связь канала Поезд | Происшествия | ЖД | Железная дорога (@grustnyj_poezd).
propoezd,channel,Поезд из провинции,270,Взгляд из белорусского вагона
oez_rf,channel,ОЭЗ России,196,Новости ОЭЗ и их резидентов.  Прислать пресс-релиз можно на электронную почту press@оэз.рф  Сайт: оэз.рф Телеграм: @gorucontent
blablablablablablblabalb,channel,Challenge answers.,2,
justrawbri,channel,𓇼 answers,7,
ledgisannouncement,channel,(ANN)LEDGIS,2946,Welcome to LEDGIS Official group.   LEDGIS aims to become future of decentralized self-sovereignty identity platform.  ★https://twitter.com/LEDGIS_official?s=09 ★https://medium.com/ledgis-eng ★t.me/ledgisannouncement
libcoinnews,channel,Libcoin Announcement,123,Libcoin addresses the supply shortage of lithium-ion batteries and the need for a crypto token backed by a green business model with the Libcoin token (LIB) ✨   LIB is a governance and reward token backed by battery technology and offers potential holders
live02222,channel,"Live,",167,"Live,"
qhub2022,channel,Q-hub,151,🔹Крымская проектно-образовательная платформа   ❗️Гуманитарный штаб помощи и солидарности в военное время   Поддержать нас можно по ссылке ⬇️  https://send.monobank.ua/AJcJnxZ4Db
aksb_lib22,channel,Библиотека (АКСБ),51,"Алтайская краевая специальная библиотека 📚 Лучшее место для встреч и общения, проявления себя!  Уникальный фонд литературы!"
librumchain,channel,LibrumCHAIN,36,LibrumCHAIN is the next generation blockchain technology that is revolutionizing the tokenization of assets.
bilugodv,channel,BiLUG ODV - Biella Linux User Group,39,🐧 Canale ufficiale del BiLUG - Biella Linux User Group 🐧  👉 Sito: https://www.bilug.it 👉 Mailing list: https://list.bilug.it/mailman3
guldpiyoshlari,channel,GulDPI Yoshlari Rasmiy,1346,"🇺🇿 Oʻzbekiston Yoshlar Ittifoqi Guliston davlat pedagogika instituti Kengashi    Oʻzbekiston yoshlar ittifoqi, Sizning orzu istaklaringiz kaliti!"
bulldogsignals,channel,BullDogSignals.com,2690,WE ARE THE BULLDOGS OF FOREX  GET VIP NOW - @BullDogSignalsBot
gpgcommunity,group,GPG Community,456,"Welcome to Golden Pips Generator Free Community. Our goal is to help everyone find the right path on their forex journey.  Your charts and analysis are welcome, but please do not post any links or signals.  Telegram: www.t.me/GPGforexia"
gogopips_com,channel,GoGoPips / MQL5 / Forex,611,"Download EA: https://gogopips.com/ MQL5: https://www.mql5.com/en/channels/expert    (AI_Trading, Machine_learning ,Stenvall, Forex, MQL5, Free_EA, Expert_Advisor, Metatrader, MT5)"
gosnipers,channel,GoSnipers | Accurate Gold Signals ✳️,101,"JOIN NOW  | GOLD XAUUSD Expert ✅ Get up to 3 High Quality Gold Signals with perfect entry, stop loss, and take profit levels. ✅ Risk Reward 1:1 to 1:3 ✅ 98% accuracy & proven profitable results!  💰 Get AutoTrade Signals Telegram to MT4.  👉 GoSnipers.com"
